song_id	genius_url	artist_name	song_name
31428	Mick-jenkins-klondike-shit-lyrics	Mick jenkins	klondike shit
31429	Mick-jenkins-slumber-lyrics	Mick jenkins	slumber
31431	Mick-jenkins-the-giver-lyrics	Mick jenkins	the giver
31434	Mick-jenkins-rain-lyrics	Mick jenkins	rain
31435	Mick-jenkins-maintain-lyrics	Mick jenkins	maintain
31437	Mick-jenkins-soft-porn-lyrics	Mick jenkins	soft porn
31438	Mick-jenkins-what-am-i-to-do-lyrics	Mick jenkins	what am i to do
31439	Mick-jenkins-reginald-lyrics	Mick jenkins	reginald
31440	Mick-jenkins-free-nation-rebel-soldier-lyrics	Mick jenkins	free nation rebel soldier
31441	Mick-jenkins-the-roots-lyrics	Mick jenkins	the roots
31442	Kirk-knight-knight-time-lyrics	Kirk knight	knight time
31443	Mick-jenkins-sunkissed-lyrics	Mick jenkins	sunkissed
31445	Mick-jenkins-the-truth-lyrics	Mick jenkins	the truth
31446	Mick-jenkins-aurora-borealis-lyrics	Mick jenkins	aurora borealis
31447	Mick-jenkins-barcelona-lyrics	Mick jenkins	barcelona
31448	Mick-jenkins-gucci-bag-lyrics	Mick jenkins	gucci bag
31450	Mick-jenkins-chicago-lyrics	Mick jenkins	chicago
31451	Mick-jenkins-plain-clothes-lyrics	Mick jenkins	plain clothes
31452	Mick-jenkins-noah-and-the-reign-lyrics	Mick jenkins	noah and the reign
31453	Mick-jenkins-grace-and-mercy-lyrics	Mick jenkins	grace and mercy
31455	Mick-jenkins-smoking-song-lyrics	Mick jenkins	smoking song
31456	Mick-jenkins-leonidas-lyrics	Mick jenkins	leonidas
31457	Mick-jenkins-gang-bang-lyrics	Mick jenkins	gang bang
31458	Alex-wiley-forever-lyrics	Alex wiley	forever
31459	Mick-jenkins-consensual-seduction-lyrics	Mick jenkins	consensual seduction
31460	Mick-jenkins-energies-lyrics	Mick jenkins	energies
31461	Mick-jenkins-c-is-for-cashmoney-lyrics	Mick jenkins	c is for cashmoney
31462	Mick-jenkins-heron-flow-lyrics	Mick jenkins	heron flow
